# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-10-07 16:17:17 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03354000 WHITE RIVER NEAR CENTERTON, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03354000
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#    02   00065     Gage height, feet
#    03   00045     Precipitation, total, inches
#    04   00010     Temperature, water, degrees Celsius
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd	02_00065	02_00065_cd	03_00045	03_00045_cd	04_00010	04_00010_cd
USGS	03354000	2014-09-30 10:15	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 10:30	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 10:45	EST	742	P	0.76	P	0.00	P	19.8	P
USGS	03354000	2014-09-30 11:00	EST	742	P	0.76	P	0.00	P	19.9	P
USGS	03354000	2014-09-30 11:15	EST	742	P	0.76	P	0.00	P	19.9	P
USGS	03354000	2014-09-30 11:30	EST	742	P	0.76	P	0.00	P	20.0	P
USGS	03354000	2014-09-30 11:45	EST	742	P	0.76	P	0.00	P	20.0	P
USGS	03354000	2014-09-30 12:00	EST	735	P	0.75	P	0.00	P	20.2	P
USGS	03354000	2014-09-30 12:15	EST	735	P	0.75	P	0.00	P	20.3	P
USGS	03354000	2014-09-30 12:30	EST	742	P	0.76	P	0.00	P	20.4	P
USGS	03354000	2014-09-30 12:45	EST	742	P	0.76	P	0.00	P	20.5	P
USGS	03354000	2014-09-30 13:00	EST	735	P	0.75	P	0.00	P	20.6	P
USGS	03354000	2014-09-30 13:15	EST	742	P	0.76	P	0.00	P	20.8	P
USGS	03354000	2014-09-30 13:30	EST	742	P	0.76	P	0.00	P	21.0	P
USGS	03354000	2014-09-30 13:45	EST	735	P	0.75	P	0.00	P	21.1	P
USGS	03354000	2014-09-30 14:00	EST	735	P	0.75	P	0.00	P	21.3	P
USGS	03354000	2014-09-30 14:15	EST	735	P	0.75	P	0.00	P	21.4	P
USGS	03354000	2014-09-30 14:30	EST	735	P	0.75	P	0.00	P	21.5	P
USGS	03354000	2014-09-30 14:45	EST	735	P	0.75	P	0.00	P	21.7	P
USGS	03354000	2014-09-30 15:00	EST	735	P	0.75	P	0.00	P	21.8	P
USGS	03354000	2014-09-30 15:15	EST	735	P	0.75	P	0.00	P	21.8	P
USGS	03354000	2014-09-30 15:30	EST	735	P	0.75	P	0.00	P	21.8	P
USGS	03354000	2014-09-30 15:45	EST	735	P	0.75	P	0.00	P	21.9	P
USGS	03354000	2014-09-30 16:00	EST	735	P	0.75	P	0.00	P	21.9	P
USGS	03354000	2014-09-30 16:15	EST	735	P	0.75	P	0.00	P	21.9	P
USGS	03354000	2014-09-30 16:30	EST	735	P	0.75	P	0.00	P	21.9	P
USGS	03354000	2014-09-30 16:45	EST	735	P	0.75	P	0.00	P	21.9	P
USGS	03354000	2014-09-30 17:00	EST	735	P	0.75	P	0.00	P	21.8	P
USGS	03354000	2014-09-30 17:15	EST	729	P	0.74	P	0.00	P	21.8	P
USGS	03354000	2014-09-30 17:30	EST	729	P	0.74	P	0.00	P	21.8	P
USGS	03354000	2014-09-30 17:45	EST	729	P	0.74	P	0.00	P	21.8	P
USGS	03354000	2014-09-30 18:00	EST	729	P	0.74	P	0.00	P	21.7	P
USGS	03354000	2014-09-30 18:15	EST	729	P	0.74	P	0.00	P	21.7	P
USGS	03354000	2014-09-30 18:30	EST	729	P	0.74	P	0.00	P	21.6	P
USGS	03354000	2014-09-30 18:45	EST	729	P	0.74	P	0.00	P	21.6	P
USGS	03354000	2014-09-30 19:00	EST	722	P	0.73	P	0.00	P	21.6	P
USGS	03354000	2014-09-30 19:15	EST	722	P	0.73	P	0.00	P	21.5	P
USGS	03354000	2014-09-30 19:30	EST	722	P	0.73	P	0.00	P	21.4	P
USGS	03354000	2014-09-30 19:45	EST	722	P	0.73	P	0.00	P	21.4	P
USGS	03354000	2014-09-30 20:00	EST	722	P	0.73	P	0.00	P	21.3	P
USGS	03354000	2014-09-30 20:15	EST	722	P	0.73	P	0.00	P	21.3	P
USGS	03354000	2014-09-30 20:30	EST	722	P	0.73	P	0.00	P	21.2	P
USGS	03354000	2014-09-30 20:45	EST	722	P	0.73	P	0.00	P	21.2	P
USGS	03354000	2014-09-30 21:00	EST	722	P	0.73	P	0.00	P	21.1	P
USGS	03354000	2014-09-30 21:15	EST	722	P	0.73	P	0.00	P	21.0	P
USGS	03354000	2014-09-30 21:30	EST	722	P	0.73	P	0.00	P	21.0	P
USGS	03354000	2014-09-30 21:45	EST	715	P	0.72	P	0.00	P	20.9	P
USGS	03354000	2014-09-30 22:00	EST	715	P	0.72	P	0.00	P	20.9	P
USGS	03354000	2014-09-30 22:15	EST	715	P	0.72	P	0.00	P	20.8	P
USGS	03354000	2014-09-30 22:30	EST	715	P	0.72	P	0.00	P	20.8	P
USGS	03354000	2014-09-30 22:45	EST	715	P	0.72	P	0.00	P	20.7	P
USGS	03354000	2014-09-30 23:00	EST	715	P	0.72	P	0.00	P	20.6	P
USGS	03354000	2014-09-30 23:15	EST	715	P	0.72	P	0.00	P	20.6	P
USGS	03354000	2014-09-30 23:30	EST	715	P	0.72	P	0.00	P	20.5	P
USGS	03354000	2014-09-30 23:45	EST	715	P	0.72	P	0.00	P	20.5	P
USGS	03354000	2014-10-01 00:00	EST	715	P	0.72	P	0.00	P	20.4	P
USGS	03354000	2014-10-01 00:15	EST	715	P	0.72	P	0.00	P	20.4	P
USGS	03354000	2014-10-01 00:30	EST	715	P	0.72	P	0.00	P	20.3	P
USGS	03354000	2014-10-01 00:45	EST	715	P	0.72	P	0.00	P	20.2	P
USGS	03354000	2014-10-01 01:00	EST	715	P	0.72	P	0.00	P	20.2	P
USGS	03354000	2014-10-01 01:15	EST	715	P	0.72	P	0.00	P	20.1	P
USGS	03354000	2014-10-01 01:30	EST	715	P	0.72	P	0.00	P	20.1	P
USGS	03354000	2014-10-01 01:45	EST	715	P	0.72	P	0.00	P	20.0	P
USGS	03354000	2014-10-01 02:00	EST	715	P	0.72	P	0.00	P	20.0	P
USGS	03354000	2014-10-01 02:15	EST	715	P	0.72	P	0.00	P	19.9	P
USGS	03354000	2014-10-01 02:30	EST	715	P	0.72	P	0.00	P	19.8	P
USGS	03354000	2014-10-01 02:45	EST	715	P	0.72	P	0.00	P	19.8	P
USGS	03354000	2014-10-01 03:00	EST	715	P	0.72	P	0.00	P	19.8	P
USGS	03354000	2014-10-01 03:15	EST	722	P	0.73	P	0.00	P	19.7	P
USGS	03354000	2014-10-01 03:30	EST	722	P	0.73	P	0.00	P	19.6	P
USGS	03354000	2014-10-01 03:45	EST	715	P	0.72	P	0.00	P	19.6	P
USGS	03354000	2014-10-01 04:00	EST	722	P	0.73	P	0.00	P	19.5	P
USGS	03354000	2014-10-01 04:15	EST	722	P	0.73	P	0.00	P	19.5	P
USGS	03354000	2014-10-01 04:30	EST	722	P	0.73	P	0.00	P	19.4	P
USGS	03354000	2014-10-01 04:45	EST	722	P	0.73	P	0.00	P	19.4	P
USGS	03354000	2014-10-01 05:00	EST	722	P	0.73	P	0.00	P	19.3	P
USGS	03354000	2014-10-01 05:15	EST	722	P	0.73	P	0.00	P	19.3	P
USGS	03354000	2014-10-01 05:30	EST	722	P	0.73	P	0.00	P	19.2	P
USGS	03354000	2014-10-01 05:45	EST	722	P	0.73	P	0.00	P	19.1	P
USGS	03354000	2014-10-01 06:00	EST	722	P	0.73	P	0.00	P	19.1	P
USGS	03354000	2014-10-01 06:15	EST	722	P	0.73	P	0.00	P	19.0	P
USGS	03354000	2014-10-01 06:30	EST	722	P	0.73	P	0.00	P	19.0	P
USGS	03354000	2014-10-01 06:45	EST	722	P	0.73	P	0.00	P	18.9	P
USGS	03354000	2014-10-01 07:00	EST	722	P	0.73	P	0.00	P	18.9	P
USGS	03354000	2014-10-01 07:15	EST	722	P	0.73	P	0.00	P	18.9	P
USGS	03354000	2014-10-01 07:30	EST	722	P	0.73	P	0.00	P	18.8	P
USGS	03354000	2014-10-01 07:45	EST	722	P	0.73	P	0.00	P	18.8	P
USGS	03354000	2014-10-01 08:00	EST	722	P	0.73	P	0.00	P	18.7	P
USGS	03354000	2014-10-01 08:15	EST	722	P	0.73	P	0.00	P	18.7	P
USGS	03354000	2014-10-01 08:30	EST	722	P	0.73	P	0.00	P	18.7	P
USGS	03354000	2014-10-01 08:45	EST	722	P	0.73	P	0.00	P	18.7	P
USGS	03354000	2014-10-01 09:00	EST	722	P	0.73	P	0.00	P	18.7	P
USGS	03354000	2014-10-01 09:15	EST	722	P	0.73	P	0.00	P	18.7	P
USGS	03354000	2014-10-01 09:30	EST	715	P	0.72	P	0.00	P	18.7	P
USGS	03354000	2014-10-01 09:45	EST	722	P	0.73	P	0.00	P	18.8	P
USGS	03354000	2014-10-01 10:00	EST	715	P	0.72	P	0.00	P	18.8	P
USGS	03354000	2014-10-01 10:15	EST	715	P	0.72	P	0.00	P	18.9	P
USGS	03354000	2014-10-01 10:30	EST	715	P	0.72	P	0.00	P	19.0	P
USGS	03354000	2014-10-01 10:45	EST	715	P	0.72	P	0.00	P	19.1	P
USGS	03354000	2014-10-01 11:00	EST	715	P	0.72	P	0.00	P	19.3	P
USGS	03354000	2014-10-01 11:15	EST	715	P	0.72	P	0.00	P	19.4	P
USGS	03354000	2014-10-01 11:30	EST	715	P	0.72	P	0.00	P	19.5	P
USGS	03354000	2014-10-01 11:45	EST	715	P	0.72	P	0.00	P	19.7	P
USGS	03354000	2014-10-01 12:00	EST	715	P	0.72	P	0.00	P	19.8	P
USGS	03354000	2014-10-01 12:15	EST	715	P	0.72	P	0.00	P	20.0	P
USGS	03354000	2014-10-01 12:30	EST	715	P	0.72	P	0.00	P	20.2	P
USGS	03354000	2014-10-01 12:45	EST	715	P	0.72	P	0.00	P	20.3	P
USGS	03354000	2014-10-01 13:00	EST	715	P	0.72	P	0.00	P	20.5	P
USGS	03354000	2014-10-01 13:15	EST	715	P	0.72	P	0.00	P	20.7	P
USGS	03354000	2014-10-01 13:30	EST	715	P	0.72	P	0.00	P	20.8	P
USGS	03354000	2014-10-01 13:45	EST	708	P	0.71	P	0.00	P	21.0	P
USGS	03354000	2014-10-01 14:00	EST	715	P	0.72	P	0.00	P	21.2	P
USGS	03354000	2014-10-01 14:15	EST	715	P	0.72	P	0.00	P	21.3	P
USGS	03354000	2014-10-01 14:30	EST	708	P	0.71	P	0.00	P	21.4	P
USGS	03354000	2014-10-01 14:45	EST	708	P	0.71	P	0.00	P	21.5	P
USGS	03354000	2014-10-01 15:00	EST	708	P	0.71	P	0.00	P	21.6	P
USGS	03354000	2014-10-01 15:15	EST	708	P	0.71	P	0.00	P	21.7	P
USGS	03354000	2014-10-01 15:30	EST	708	P	0.71	P	0.00	P	21.7	P
USGS	03354000	2014-10-01 15:45	EST	708	P	0.71	P	0.00	P	21.7	P
USGS	03354000	2014-10-01 16:00	EST	708	P	0.71	P	0.00	P	21.7	P
USGS	03354000	2014-10-01 16:15	EST	708	P	0.71	P	0.00	P	21.7	P
USGS	03354000	2014-10-01 16:30	EST	708	P	0.71	P	0.00	P	21.8	P
USGS	03354000	2014-10-01 16:45	EST	708	P	0.71	P	0.00	P	21.8	P
USGS	03354000	2014-10-01 17:00	EST	708	P	0.71	P	0.00	P	21.8	P
USGS	03354000	2014-10-01 17:15	EST	708	P	0.71	P	0.00	P	21.7	P
USGS	03354000	2014-10-01 17:30	EST	708	P	0.71	P	0.00	P	21.7	P
USGS	03354000	2014-10-01 17:45	EST	708	P	0.71	P	0.00	P	21.6	P
USGS	03354000	2014-10-01 18:00	EST	708	P	0.71	P	0.00	P	21.6	P
USGS	03354000	2014-10-01 18:15	EST	708	P	0.71	P	0.00	P	21.6	P
USGS	03354000	2014-10-01 18:30	EST	708	P	0.71	P	0.00	P	21.5	P
USGS	03354000	2014-10-01 18:45	EST	708	P	0.71	P	0.00	P	21.5	P
USGS	03354000	2014-10-01 19:00	EST	708	P	0.71	P	0.00	P	21.4	P
USGS	03354000	2014-10-01 19:15	EST	708	P	0.71	P	0.00	P	21.4	P
USGS	03354000	2014-10-01 19:30	EST	708	P	0.71	P	0.00	P	21.4	P
USGS	03354000	2014-10-01 19:45	EST	708	P	0.71	P	0.00	P	21.3	P
USGS	03354000	2014-10-01 20:00	EST	708	P	0.71	P	0.00	P	21.3	P
USGS	03354000	2014-10-01 20:15	EST	701	P	0.70	P	0.00	P	21.2	P
USGS	03354000	2014-10-01 20:30	EST	701	P	0.70	P	0.00	P	21.2	P
USGS	03354000	2014-10-01 20:45	EST	701	P	0.70	P	0.00	P	21.1	P
USGS	03354000	2014-10-01 21:00	EST	701	P	0.70	P	0.00	P	21.1	P
USGS	03354000	2014-10-01 21:15	EST	701	P	0.70	P	0.00	P	21.0	P
USGS	03354000	2014-10-01 21:30	EST	701	P	0.70	P	0.00	P	21.0	P
USGS	03354000	2014-10-01 21:45	EST	701	P	0.70	P	0.00	P	20.9	P
USGS	03354000	2014-10-01 22:00	EST	701	P	0.70	P	0.00	P	20.9	P
USGS	03354000	2014-10-01 22:15	EST	701	P	0.70	P	0.00	P	20.8	P
USGS	03354000	2014-10-01 22:30	EST	694	P	0.69	P	0.00	P	20.8	P
USGS	03354000	2014-10-01 22:45	EST	701	P	0.70	P	0.00	P	20.8	P
USGS	03354000	2014-10-01 23:00	EST	701	P	0.70	P	0.00	P	20.7	P
USGS	03354000	2014-10-01 23:15	EST	701	P	0.70	P	0.00	P	20.7	P
USGS	03354000	2014-10-01 23:30	EST	701	P	0.70	P	0.00	P	20.6	P
USGS	03354000	2014-10-01 23:45	EST	701	P	0.70	P	0.00	P	20.6	P
USGS	03354000	2014-10-02 00:00	EST	701	P	0.70	P	0.00	P	20.6	P
USGS	03354000	2014-10-02 00:15	EST	701	P	0.70	P	0.00	P	20.5	P
USGS	03354000	2014-10-02 00:30	EST	701	P	0.70	P	0.00	P	20.5	P
USGS	03354000	2014-10-02 00:45	EST	701	P	0.70	P	0.00	P	20.4	P
USGS	03354000	2014-10-02 01:00	EST	701	P	0.70	P	0.00	P	20.4	P
USGS	03354000	2014-10-02 01:15	EST	701	P	0.70	P	0.00	P	20.4	P
USGS	03354000	2014-10-02 01:30	EST	701	P	0.70	P	0.00	P	20.4	P
USGS	03354000	2014-10-02 01:45	EST	701	P	0.70	P	0.00	P	20.3	P
USGS	03354000	2014-10-02 02:00	EST	701	P	0.70	P	0.00	P	20.3	P
USGS	03354000	2014-10-02 02:15	EST	701	P	0.70	P	0.00	P	20.2	P
USGS	03354000	2014-10-02 02:30	EST	701	P	0.70	P	0.00	P	20.2	P
USGS	03354000	2014-10-02 02:45	EST	701	P	0.70	P	0.00	P	20.1	P
USGS	03354000	2014-10-02 03:00	EST	701	P	0.70	P	0.00	P	20.1	P
USGS	03354000	2014-10-02 03:15	EST	701	P	0.70	P	0.00	P	20.0	P
USGS	03354000	2014-10-02 03:30	EST	701	P	0.70	P	0.00	P	20.0	P
USGS	03354000	2014-10-02 03:45	EST	701	P	0.70	P	0.00	P	20.0	P
USGS	03354000	2014-10-02 04:00	EST	701	P	0.70	P	0.00	P	19.9	P
USGS	03354000	2014-10-02 04:15	EST	701	P	0.70	P	0.00	P	19.9	P
USGS	03354000	2014-10-02 04:30	EST	701	P	0.70	P	0.00	P	19.8	P
USGS	03354000	2014-10-02 04:45	EST	701	P	0.70	P	0.00	P	19.8	P
USGS	03354000	2014-10-02 05:00	EST	701	P	0.70	P	0.00	P	19.8	P
USGS	03354000	2014-10-02 05:15	EST	701	P	0.70	P	0.00	P	19.7	P
USGS	03354000	2014-10-02 05:30	EST	701	P	0.70	P	0.00	P	19.7	P
USGS	03354000	2014-10-02 05:45	EST	701	P	0.70	P	0.00	P	19.7	P
USGS	03354000	2014-10-02 06:00	EST	701	P	0.70	P	0.00	P	19.6	P
USGS	03354000	2014-10-02 06:15	EST	701	P	0.70	P	0.00	P	19.6	P
USGS	03354000	2014-10-02 06:30	EST	701	P	0.70	P	0.00	P	19.6	P
USGS	03354000	2014-10-02 06:45	EST	701	P	0.70	P	0.00	P	19.6	P
USGS	03354000	2014-10-02 07:00	EST	701	P	0.70	P	0.00	P	19.5	P
USGS	03354000	2014-10-02 07:15	EST	701	P	0.70	P	0.00	P	19.5	P
USGS	03354000	2014-10-02 07:30	EST	701	P	0.70	P	0.00	P	19.5	P
USGS	03354000	2014-10-02 07:45	EST	701	P	0.70	P	0.00	P	19.5	P
USGS	03354000	2014-10-02 08:00	EST	701	P	0.70	P	0.00	P	19.4	P
USGS	03354000	2014-10-02 08:15	EST	701	P	0.70	P	0.00	P	19.4	P
USGS	03354000	2014-10-02 08:30	EST	701	P	0.70	P	0.00	P	19.4	P
USGS	03354000	2014-10-02 08:45	EST	701	P	0.70	P	0.01	P	19.4	P
USGS	03354000	2014-10-02 09:00	EST	701	P	0.70	P	0.01	P	19.4	P
USGS	03354000	2014-10-02 09:15	EST	701	P	0.70	P	0.00	P	19.4	P
USGS	03354000	2014-10-02 09:30	EST	701	P	0.70	P	0.00	P	19.4	P
USGS	03354000	2014-10-02 09:45	EST	701	P	0.70	P	0.00	P	19.4	P
USGS	03354000	2014-10-02 10:00	EST	701	P	0.70	P	0.00	P	19.5	P
USGS	03354000	2014-10-02 10:15	EST	701	P	0.70	P	0.00	P	19.5	P
USGS	03354000	2014-10-02 10:30	EST	701	P	0.70	P	0.00	P	19.5	P
USGS	03354000	2014-10-02 10:45	EST	694	P	0.69	P	0.00	P	19.6	P
USGS	03354000	2014-10-02 11:00	EST	694	P	0.69	P	0.00	P	19.6	P
USGS	03354000	2014-10-02 11:15	EST	694	P	0.69	P	0.00	P	19.7	P
USGS	03354000	2014-10-02 11:30	EST	694	P	0.69	P	0.00	P	19.8	P
USGS	03354000	2014-10-02 11:45	EST	694	P	0.69	P	0.00	P	19.8	P
USGS	03354000	2014-10-02 12:00	EST	694	P	0.69	P	0.00	P	20.0	P
USGS	03354000	2014-10-02 12:15	EST	688	P	0.68	P	0.00	P	20.3	P
USGS	03354000	2014-10-02 12:30	EST	694	P	0.69	P	0.00	P	20.5	P
USGS	03354000	2014-10-02 12:45	EST	694	P	0.69	P	0.00	P	20.6	P
USGS	03354000	2014-10-02 13:00	EST	688	P	0.68	P	0.00	P	20.8	P
USGS	03354000	2014-10-02 13:15	EST	688	P	0.68	P	0.00	P	20.9	P
USGS	03354000	2014-10-02 13:30	EST	688	P	0.68	P	0.00	P	21.1	P
USGS	03354000	2014-10-02 13:45	EST	688	P	0.68	P	0.00	P	21.3	P
USGS	03354000	2014-10-02 14:00	EST	688	P	0.68	P	0.00	P	21.4	P
USGS	03354000	2014-10-02 14:15	EST	688	P	0.68	P	0.00	P	21.6	P
USGS	03354000	2014-10-02 14:30	EST	688	P	0.68	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 14:45	EST	681	P	0.67	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 15:00	EST	681	P	0.67	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 15:15	EST	681	P	0.67	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 15:30	EST	681	P	0.67	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 15:45	EST	681	P	0.67	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 16:00	EST	681	P	0.67	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 16:15	EST	674	P	0.66	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 16:30	EST	681	P	0.67	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 16:45	EST	681	P	0.67	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 17:00	EST	674	P	0.66	P	0.00	P	22.1	P
USGS	03354000	2014-10-02 17:15	EST	674	P	0.66	P	0.00	P	22.1	P
USGS	03354000	2014-10-02 17:30	EST	674	P	0.66	P	0.00	P	22.1	P
USGS	03354000	2014-10-02 17:45	EST	674	P	0.66	P	0.00	P	22.1	P
USGS	03354000	2014-10-02 18:00	EST	674	P	0.66	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 18:15	EST	674	P	0.66	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 18:30	EST	674	P	0.66	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 18:45	EST	674	P	0.66	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 19:00	EST	668	P	0.65	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 19:15	EST	668	P	0.65	P	0.00	P	22.0	P
USGS	03354000	2014-10-02 19:30	EST	668	P	0.65	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 19:45	EST	668	P	0.65	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 20:00	EST	661	P	0.64	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 20:15	EST	668	P	0.65	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 20:30	EST	668	P	0.65	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 20:45	EST	668	P	0.65	P	0.00	P	21.9	P
USGS	03354000	2014-10-02 21:00	EST	661	P	0.64	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 21:15	EST	661	P	0.64	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 21:30	EST	668	P	0.65	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 21:45	EST	661	P	0.64	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 22:00	EST	661	P	0.64	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 22:15	EST	661	P	0.64	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 22:30	EST	661	P	0.64	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 22:45	EST	661	P	0.64	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 23:00	EST	661	P	0.64	P	0.00	P	21.8	P
USGS	03354000	2014-10-02 23:15	EST	661	P	0.64	P	0.00	P	21.7	P
USGS	03354000	2014-10-02 23:30	EST	654	P	0.63	P	0.00	P	21.7	P
USGS	03354000	2014-10-02 23:45	EST	654	P	0.63	P	0.00	P	21.7	P
USGS	03354000	2014-10-03 00:00	EST	661	P	0.64	P	0.00	P	21.7	P
USGS	03354000	2014-10-03 00:15	EST	654	P	0.63	P	0.00	P	21.7	P
USGS	03354000	2014-10-03 00:30	EST	661	P	0.64	P	0.00	P	21.6	P
